Student_Name,attendance_percentage,study_hours_per_week,homework_completion_rate,class_participation,quiz_average,midterm_score,final_score,math_score,science_score,english_score,overall_grade,stress_level,learning_style
Arjun Patel,98.47,6.35,84.73,1,78.52,56.63,57.19,60.76,89.05,42.1,A,3,Auditory
Krishna Patel,98.21,10.69,96.44,2,61.81,40.34,46.15,60.88,45.88,91.88,B,3,Kinesthetic
Rohan Patel,64.96,6.02,46.31,2,87.3,83.86,84.41,68.14,80.79,58.8,C,4,Visual
Rahul Patel,91.44,5.43,33.38,4,55.16,73.82,72.51,60.05,57.6,62.02,C,1,Kinesthetic
Karthik Patel,83.94,19.37,35.07,4,44.16,41.93,64.08,46.44,87.72,67.02,A,2,Visual
Siddharth Patel,90.0,2.98,45.17,2,68.59,64.77,61.24,48.74,64.13,90.96,A,2,Kinesthetic
Ananya Patel,92.31,19.81,94.39,2,81.37,69.89,88.54,42.01,79.92,40.85,C,1,Auditory
Diya Patel,99.01,12.83,38.88,2,42.61,90.56,43.36,68.21,96.06,47.12,C,4,Visual
Isha Patel,57.59,19.21,82.33,4,94.56,36.02,58.26,97.27,41.24,81.11,B,1,Kinesthetic
Kavya Patel,88.49,18.05,90.69,5,43.56,41.33,71.38,46.94,40.67,97.83,D,3,Auditory
Pooja Patel,86.71,13.32,91.43,3,96.85,67.37,42.52,96.78,86.22,78.57,C,3,Auditory
Sneha Patel,64.39,12.21,59.17,3,40.16,33.2,60.48,84.0,78.78,55.67,B,2,Auditory
Aditi Patel,69.63,19.86,64.67,4,39.0,56.85,77.3,78.25,57.58,71.19,C,2,Visual
Nisha Patel,58.84,10.79,52.63,3,42.99,31.1,60.81,78.72,69.66,98.5,C,3,Auditory
Priya Patel,95.66,4.4,40.31,1,55.98,48.03,37.32,89.6,42.52,71.68,B,2,Auditory
Meera Patel,93.97,19.87,44.85,4,64.1,41.3,71.7,46.42,51.55,62.41,C,2,Visual
Aarav Gupta,80.7,7.15,39.43,2,73.62,50.02,41.08,70.29,65.47,63.01,A,3,Visual
Vivaan Gupta,75.58,2.66,58.53,5,51.55,83.7,51.68,81.83,90.04,98.02,C,5,Visual
Aditya Gupta,61.64,14.62,41.92,1,63.94,54.31,33.8,75.21,68.78,83.13,A,1,Visual
Arjun Gupta,89.48,9.47,58.24,1,39.85,92.49,64.92,89.97,75.18,81.23,B,3,Kinesthetic
Krishna Gupta,50.41,8.37,89.58,4,73.47,49.38,59.82,44.34,92.43,53.92,A,4,Auditory
Rohan Gupta,73.14,13.0,75.82,2,96.73,38.98,83.93,81.44,58.53,73.57,C,5,Visual
Rahul Gupta,93.03,2.0,76.39,2,57.06,34.2,86.42,72.04,82.04,61.4,B,3,Auditory
Karthik Gupta,80.92,14.27,86.83,1,69.73,99.45,92.2,62.75,91.7,54.41,B,2,Kinesthetic
Siddharth Gupta,81.76,10.57,32.88,2,84.59,36.72,39.02,60.42,52.16,93.73,C,4,Visual
Ananya Gupta,53.54,10.31,85.62,2,88.84,55.3,50.66,77.25,61.39,62.99,C,5,Visual
Diya Gupta,64.34,18.1,43.74,2,63.26,89.3,74.18,93.46,98.79,56.97,A,5,Auditory
Isha Gupta,83.69,16.79,54.21,3,94.23,45.87,96.19,69.77,98.99,95.9,C,3,Kinesthetic
Kavya Gupta,52.48,11.1,51.56,5,76.44,34.54,62.92,89.48,53.39,51.84,C,2,Visual
Pooja Gupta,66.55,11.99,37.4,4,55.72,67.91,65.36,64.13,43.99,84.73,A,4,Visual
Sneha Gupta,67.7,16.33,42.16,4,78.73,32.45,58.87,46.14,56.26,79.16,A,1,Auditory
Aditi Gupta,74.94,8.81,96.94,3,90.0,80.37,50.54,43.69,63.86,95.23,A,1,Kinesthetic
Nisha Gupta,68.12,13.75,72.02,3,77.38,72.02,49.47,43.08,66.46,89.92,C,1,Kinesthetic
Priya Gupta,72.71,11.27,63.18,4,79.28,46.22,50.88,62.81,77.13,82.32,A,3,Auditory
Meera Gupta,77.35,10.49,83.05,4,59.42,64.39,58.05,60.23,93.97,58.87,B,2,Visual
Aarav Singh,56.42,19.71,86.96,2,93.72,30.47,62.88,83.08,59.82,69.73,A,2,Auditory
Vivaan Singh,59.02,1.33,37.72,3,43.65,67.94,34.54,84.57,91.0,96.67,B,5,Visual
Aditya Singh,91.63,8.88,81.86,3,87.95,84.25,82.77,43.05,45.61,41.39,D,4,Visual
Arjun Singh,72.99,18.67,95.27,5,73.63,34.08,37.06,53.27,42.51,87.66,C,2,Visual
Krishna Singh,67.76,18.63,70.98,1,51.93,45.78,72.01,56.46,70.24,55.11,B,1,Kinesthetic
Rohan Singh,71.69,15.21,72.99,5,58.91,73.66,74.56,72.86,43.58,51.1,B,4,Kinesthetic
Rahul Singh,58.74,12.25,90.93,2,75.04,33.36,33.11,48.67,63.55,53.93,A,2,Auditory
Karthik Singh,61.99,14.13,77.56,2,60.89,87.07,54.52,48.04,93.81,43.59,C,1,Auditory
Siddharth Singh,75.78,5.81,99.67,2,57.9,52.71,82.41,96.63,54.49,99.52,B,4,Visual
Ananya Singh,67.95,10.28,49.79,5,42.48,44.77,51.36,88.25,82.36,92.19,A,1,Visual
Diya Singh,73.77,11.19,89.18,1,96.26,89.62,92.55,50.84,58.14,71.26,C,3,Visual
Isha Singh,57.49,2.21,72.87,1,75.8,75.8,96.63,64.39,42.7,82.91,B,1,Auditory
Kavya Singh,57.82,17.46,55.6,2,95.48,92.92,93.46,61.34,73.4,73.4,C,3,Auditory
Pooja Singh,69.2,9.68,91.81,2,60.02,57.35,72.02,87.46,90.09,88.69,A,1,Visual
Sneha Singh,68.94,18.08,99.74,1,95.61,98.59,40.9,70.61,64.57,90.69,B,3,Kinesthetic
Aditi Singh,94.17,8.41,34.05,1,63.99,96.85,64.5,47.67,77.04,53.97,B,3,Visual
Nisha Singh,51.67,8.77,94.79,3,83.06,69.9,99.39,84.34,94.0,67.58,B,2,Kinesthetic
Priya Singh,99.64,5.64,44.22,4,56.19,80.93,34.85,63.81,87.38,78.09,A,5,Auditory
Meera Singh,97.83,13.24,44.36,5,92.83,56.06,55.85,55.78,51.63,98.71,B,4,Visual
Aarav Kumar,77.11,11.42,32.92,5,67.16,34.06,47.87,62.53,84.0,80.96,C,1,Visual
Vivaan Kumar,85.94,18.35,94.55,4,43.76,53.1,95.37,69.87,70.11,93.86,C,4,Auditory
Aditya Kumar,96.76,9.16,83.16,4,60.62,48.0,61.46,60.59,84.76,90.77,C,1,Auditory
Arjun Kumar,62.56,13.31,33.74,3,47.82,39.41,30.53,54.51,69.67,74.92,A,1,Kinesthetic
Krishna Kumar,65.78,14.44,74.35,1,81.47,63.97,69.07,63.91,47.68,93.62,A,5,Auditory
Rohan Kumar,55.55,7.08,38.41,1,33.65,95.37,53.77,41.15,74.19,62.65,C,4,Kinesthetic
Rahul Kumar,78.19,17.74,82.6,3,44.84,91.87,80.96,86.35,69.53,62.76,C,5,Auditory
Karthik Kumar,57.97,8.24,58.63,1,49.47,49.73,39.77,50.26,71.08,86.86,B,3,Visual
Siddharth Kumar,96.54,13.11,33.62,3,94.92,99.98,81.81,42.63,92.73,48.07,C,2,Visual
Ananya Kumar,71.58,12.7,88.06,2,50.18,93.73,56.24,79.22,93.69,58.35,C,1,Auditory
Diya Kumar,95.98,9.01,70.07,3,58.57,36.57,99.51,86.44,67.21,76.51,B,1,Auditory
Isha Kumar,60.25,4.48,84.1,2,99.54,46.98,63.65,88.83,67.34,65.2,B,3,Visual
Kavya Kumar,84.7,12.26,77.22,2,91.8,53.04,54.09,69.61,70.91,96.44,B,3,Visual
Pooja Kumar,82.38,8.14,60.41,2,88.37,45.64,53.71,52.32,71.18,97.51,A,2,Auditory
Sneha Kumar,69.98,8.2,78.91,4,40.37,39.87,33.81,84.23,97.02,70.15,A,5,Visual
Aditi Kumar,94.92,10.37,31.03,4,48.48,58.11,99.56,81.98,78.96,72.34,C,1,Visual
Nisha Kumar,71.74,13.87,53.78,1,35.35,71.36,79.82,54.78,56.65,83.48,B,3,Kinesthetic
Priya Kumar,59.92,14.86,84.45,2,74.65,83.49,88.24,94.2,71.89,67.44,C,5,Visual
Meera Kumar,98.85,9.11,83.41,4,76.64,92.8,67.89,46.26,77.63,51.41,C,4,Visual
Aarav Mehta,72.07,3.28,92.12,2,99.28,56.21,95.59,98.96,78.39,84.82,B,2,Auditory
Vivaan Mehta,60.4,16.04,72.77,4,65.74,74.26,63.81,91.61,75.12,84.27,D,1,Visual
Aditya Mehta,68.18,13.72,95.95,4,41.76,63.31,50.0,81.27,50.66,54.7,B,2,Visual
Arjun Mehta,80.68,16.21,69.04,5,35.41,78.81,83.24,96.32,42.02,89.97,B,5,Visual
Krishna Mehta,75.6,7.0,65.03,5,40.23,81.24,79.85,83.34,60.27,76.82,B,4,Kinesthetic
Rohan Mehta,81.76,18.27,43.81,2,59.49,31.26,87.05,51.43,65.65,54.18,B,1,Kinesthetic
Rahul Mehta,83.09,5.99,84.52,4,75.99,78.54,93.73,66.53,43.71,79.12,A,2,Auditory
Karthik Mehta,56.17,6.51,78.44,5,57.29,33.48,43.65,44.29,88.9,54.02,B,2,Auditory
Siddharth Mehta,65.74,11.19,62.25,1,74.96,45.86,53.15,63.38,60.64,55.91,B,3,Auditory
Ananya Mehta,87.44,19.95,36.1,2,48.67,50.34,56.65,84.5,94.82,90.88,D,1,Visual
Diya Mehta,82.52,4.84,38.8,4,37.91,72.21,47.34,63.19,49.26,95.77,C,1,Visual
Isha Mehta,54.42,16.93,38.01,4,47.88,48.6,93.28,59.82,43.42,55.41,A,2,Visual
Kavya Mehta,65.76,1.04,56.29,5,47.04,63.45,63.54,75.72,68.94,95.68,B,2,Visual
Pooja Mehta,96.57,5.51,41.13,1,39.89,71.89,92.29,92.33,51.35,54.33,A,3,Visual
Sneha Mehta,93.1,7.58,90.26,2,53.28,97.5,65.21,42.85,96.24,47.04,B,5,Visual
Aditi Mehta,83.53,13.32,92.95,2,79.87,75.25,63.21,63.13,40.62,43.49,A,2,Visual
Nisha Mehta,53.64,3.16,89.97,5,56.51,80.04,53.47,49.49,64.76,54.53,C,5,Auditory
Priya Mehta,80.35,3.45,72.62,3,86.66,54.2,64.03,81.72,95.6,63.11,B,2,Kinesthetic
Meera Mehta,50.61,3.78,71.74,1,86.11,60.29,49.6,46.34,63.07,95.65,B,5,Kinesthetic
Aarav Iyer,83.06,13.59,92.36,1,84.46,39.47,69.8,79.89,45.59,54.53,B,4,Auditory
Vivaan Iyer,86.56,3.18,58.44,2,75.85,53.89,41.08,57.17,58.17,61.93,B,2,Auditory
Aditya Iyer,74.86,8.57,34.36,3,73.24,35.36,86.97,51.94,69.88,84.05,C,3,Kinesthetic
Arjun Iyer,50.19,3.98,62.93,4,39.98,56.01,42.47,96.18,51.11,58.12,B,4,Auditory
Krishna Iyer,83.33,8.26,68.76,4,47.02,81.47,64.64,41.11,67.99,81.06,A,3,Auditory
Rohan Iyer,90.99,14.57,68.46,3,60.53,78.9,46.92,66.27,90.18,65.92,B,5,Auditory
Rahul Iyer,79.29,6.28,41.13,5,60.19,69.83,91.37,41.3,92.36,51.79,A,1,Auditory
Karthik Iyer,85.46,12.74,84.84,4,72.6,63.55,47.69,69.02,42.96,84.04,A,2,Visual
Siddharth Iyer,54.52,5.72,81.24,2,46.41,87.71,90.7,70.06,49.65,41.62,A,2,Auditory
Ananya Iyer,85.77,15.01,46.09,5,48.07,99.01,34.01,59.3,56.52,57.54,A,2,Visual
Diya Iyer,80.71,15.76,68.59,1,39.05,99.5,37.92,47.93,75.69,61.37,B,1,Kinesthetic
Isha Iyer,66.55,6.9,85.32,5,81.14,31.26,32.86,62.58,61.66,67.49,C,2,Auditory
Kavya Iyer,84.27,1.45,30.54,5,82.7,37.63,41.03,80.34,90.64,80.79,A,1,Auditory
Pooja Iyer,82.28,3.45,49.26,2,96.26,55.22,67.32,86.94,83.0,67.56,B,1,Visual
Sneha Iyer,79.97,10.33,63.04,5,34.59,74.4,71.34,71.85,46.03,75.66,B,2,Visual
Aditi Iyer,59.15,8.26,89.15,1,54.16,74.04,38.53,75.39,77.47,75.75,B,4,Auditory
Nisha Iyer,64.81,7.57,85.93,2,66.17,90.62,42.98,52.04,46.78,62.4,B,1,Kinesthetic
Priya Iyer,99.57,12.01,40.57,5,94.14,67.52,73.03,57.24,55.3,96.04,D,2,Auditory
Meera Iyer,71.66,4.07,62.39,4,45.4,47.26,43.39,49.71,50.67,97.35,C,5,Auditory
Aarav Nair,52.97,9.68,51.32,2,89.45,40.36,83.16,54.96,50.38,74.91,B,1,Visual
Vivaan Nair,94.95,4.86,58.1,4,94.22,64.66,94.17,53.49,76.98,44.3,B,1,Kinesthetic
Aditya Nair,58.65,19.64,67.84,2,83.84,98.54,67.15,71.17,73.82,69.47,A,3,Visual
Arjun Nair,70.18,1.92,64.95,4,36.89,71.77,89.46,73.76,50.56,51.07,C,2,Kinesthetic
Krishna Nair,63.9,1.3,39.91,1,90.54,36.13,35.9,96.7,99.41,68.99,A,3,Visual
Rohan Nair,98.19,11.72,38.52,2,88.66,33.27,93.39,51.73,65.31,51.31,B,1,Auditory
Rahul Nair,68.9,2.19,39.12,2,49.08,78.88,34.33,78.5,45.82,82.23,A,2,Visual
Karthik Nair,85.44,16.41,88.89,4,68.34,79.2,30.81,89.04,47.23,44.83,B,1,Visual
Siddharth Nair,79.92,16.57,31.4,2,90.14,71.9,93.3,73.61,75.03,97.2,C,5,Visual
Ananya Nair,52.15,9.21,44.17,4,39.11,79.52,41.8,55.3,98.74,51.72,B,1,Auditory
Diya Nair,69.22,16.93,96.91,5,75.24,48.28,86.07,55.75,74.32,79.64,C,3,Auditory
Isha Nair,69.5,15.07,34.62,2,66.68,62.42,62.52,42.36,96.94,95.02,B,1,Visual
Kavya Nair,99.49,3.57,32.54,3,62.5,68.53,57.03,58.33,66.65,54.87,A,4,Auditory
Pooja Nair,90.6,17.33,57.11,2,34.55,36.55,97.41,84.68,66.15,96.06,C,1,Visual
Sneha Nair,92.83,17.61,40.58,3,74.4,95.13,82.27,42.85,70.0,63.32,C,4,Visual
Aditi Nair,65.68,7.13,69.6,3,51.12,78.33,86.55,53.16,81.85,97.63,D,5,Auditory
Nisha Nair,66.45,15.72,53.7,5,85.57,90.92,49.37,82.37,62.06,98.28,C,3,Visual
Priya Nair,75.78,18.05,44.63,3,99.93,38.79,35.18,86.96,91.83,51.28,C,1,Kinesthetic
Meera Nair,81.55,15.17,99.9,4,86.88,62.3,50.7,67.32,41.76,89.87,B,5,Kinesthetic
Aarav Choudhary,86.41,2.79,53.88,4,43.48,88.38,90.73,81.88,66.39,51.61,C,2,Auditory
Vivaan Choudhary,91.04,2.8,74.87,2,52.4,80.06,87.97,63.28,70.66,53.59,C,1,Kinesthetic
Aditya Choudhary,93.66,19.67,91.19,1,90.72,70.46,87.51,49.59,76.42,45.05,B,2,Auditory
Arjun Choudhary,51.23,11.29,94.57,5,34.31,30.88,63.21,63.89,56.56,49.39,C,2,Visual
Krishna Choudhary,89.8,13.24,58.71,5,40.33,68.24,49.6,74.8,65.65,77.93,B,1,Kinesthetic
Rohan Choudhary,80.54,18.33,98.33,5,87.52,53.45,40.6,96.88,69.07,66.96,C,4,Visual
Rahul Choudhary,76.6,1.14,80.72,5,30.2,32.87,37.34,44.13,81.21,87.46,B,1,Auditory
Karthik Choudhary,81.42,9.11,70.83,5,53.41,49.47,58.48,70.44,86.41,59.92,A,2,Visual
Siddharth Choudhary,94.1,11.76,78.53,1,84.58,84.69,77.92,59.74,84.27,98.12,B,2,Visual
Ananya Choudhary,77.26,1.04,55.21,2,36.52,98.69,94.3,70.5,60.49,42.99,D,1,Auditory
Diya Choudhary,58.11,12.86,59.71,2,60.17,58.8,55.8,41.44,99.97,43.78,B,1,Kinesthetic
Isha Choudhary,71.84,17.17,71.04,5,65.18,36.74,90.75,58.78,90.92,82.08,B,5,Visual
Kavya Choudhary,96.22,2.04,52.88,1,73.48,94.13,89.13,89.19,55.6,93.25,D,5,Auditory
Pooja Choudhary,90.72,16.28,83.82,1,78.21,34.76,81.06,73.24,51.71,87.73,C,4,Visual
Sneha Choudhary,60.15,19.57,47.58,1,39.44,52.44,72.39,67.03,58.84,69.39,C,1,Kinesthetic
Aditi Choudhary,85.71,18.49,85.78,3,53.89,41.47,33.6,57.13,67.14,56.18,C,5,Auditory
Nisha Choudhary,62.81,11.2,40.65,4,34.8,47.65,63.79,57.88,91.05,40.81,A,5,Auditory
Priya Choudhary,67.43,17.35,45.22,1,95.87,75.72,86.84,62.99,86.7,70.57,C,3,Visual
Meera Choudhary,73.45,15.64,82.72,3,63.68,33.05,91.85,90.13,91.07,68.54,A,5,Auditory
Aarav Reddy,72.04,16.54,48.42,5,52.71,56.71,60.36,98.03,56.32,60.65,B,4,Kinesthetic
Vivaan Reddy,51.46,8.56,85.68,3,89.45,30.33,70.02,66.32,75.61,74.68,B,4,Kinesthetic
Aditya Reddy,88.7,10.04,84.87,4,74.45,59.02,90.58,63.6,56.99,83.73,B,2,Visual
Arjun Reddy,92.32,5.54,48.01,1,61.33,62.42,62.78,90.79,46.54,82.05,A,3,Visual
Krishna Reddy,76.55,1.98,35.12,4,71.58,88.26,72.14,65.61,81.05,55.8,B,2,Kinesthetic
Rohan Reddy,58.65,12.35,41.65,2,90.36,65.47,89.4,73.12,48.58,75.12,A,1,Kinesthetic
Rahul Reddy,62.4,6.88,82.68,4,78.26,41.06,85.38,53.86,80.06,48.93,A,3,Auditory
Karthik Reddy,56.32,10.55,89.29,1,89.23,72.11,36.15,84.61,78.88,47.3,B,5,Visual
Siddharth Reddy,58.48,19.29,56.81,5,55.63,47.57,35.44,71.92,88.61,87.15,B,3,Auditory
Ananya Reddy,93.82,2.2,41.5,4,74.27,65.74,59.1,88.54,48.37,81.62,A,3,Kinesthetic
Diya Reddy,74.01,17.6,35.28,2,37.19,48.81,89.68,86.84,87.01,86.08,C,1,Visual
Isha Reddy,55.55,2.65,45.11,3,41.7,47.29,94.58,52.9,99.96,49.15,B,3,Visual
Kavya Reddy,62.74,13.42,98.58,2,57.9,85.38,96.41,82.94,91.06,94.88,B,1,Visual
Pooja Reddy,97.48,7.52,41.92,3,96.28,65.52,99.21,88.0,85.11,47.99,C,2,Visual
Sneha Reddy,75.46,2.9,36.03,2,88.88,84.39,65.38,60.77,79.73,92.2,B,4,Auditory
Aditi Reddy,75.78,15.38,84.98,1,52.13,60.28,94.26,50.36,65.31,61.14,A,4,Kinesthetic
Nisha Reddy,76.28,14.27,73.08,3,35.33,51.14,80.89,40.16,83.83,46.33,C,3,Visual
Priya Reddy,55.58,13.16,67.44,1,46.52,67.28,61.13,67.05,83.45,57.21,B,2,Visual
Meera Reddy,98.52,19.33,61.35,4,44.6,88.04,95.01,61.15,77.89,50.89,B,5,Visual
Aarav Sharma,54.22,1.45,79.13,3,32.39,37.48,58.47,73.29,87.78,69.44,A,3,Kinesthetic
Vivaan Sharma,85.0,9.26,78.88,4,86.57,98.0,50.52,51.28,66.93,96.98,C,3,Visual
Aditya Sharma,52.89,11.69,59.71,5,89.74,65.93,78.06,91.58,47.28,59.67,A,1,Auditory
Arjun Sharma,72.18,7.8,46.4,2,56.42,62.48,38.7,55.47,73.54,76.73,C,1,Auditory
Krishna Sharma,94.98,13.72,88.89,2,40.23,97.88,96.01,53.59,55.9,93.5,A,4,Auditory
Rohan Sharma,88.42,18.08,41.52,2,37.62,54.72,83.82,68.84,63.07,77.8,A,4,Auditory
Rahul Sharma,66.73,14.24,67.38,5,39.22,58.6,69.47,69.93,41.04,61.73,B,4,Visual
Karthik Sharma,77.57,11.82,78.49,5,39.01,39.44,36.63,52.91,62.97,99.45,C,5,Visual
Siddharth Sharma,58.26,15.02,74.72,1,33.97,92.06,46.43,56.31,88.53,51.24,C,2,Visual
Ananya Sharma,97.81,3.08,73.32,3,95.39,98.62,65.27,50.18,72.56,71.4,B,5,Auditory
Diya Sharma,85.43,12.97,76.38,3,48.05,41.03,65.04,83.11,40.59,87.8,B,3,Visual
Isha Sharma,68.71,8.74,91.3,3,37.66,96.44,63.06,86.21,68.19,40.04,A,4,Kinesthetic
Kavya Sharma,65.9,7.06,55.58,4,81.04,30.58,53.43,67.74,57.49,82.12,A,3,Auditory
Pooja Sharma,61.93,10.64,73.92,5,93.59,81.58,79.82,82.85,68.65,55.99,C,4,Kinesthetic
Sneha Sharma,89.33,16.29,78.79,5,86.23,75.41,95.84,84.16,64.28,50.18,C,5,Auditory
Aditi Sharma,71.73,8.84,71.32,5,89.71,34.35,68.06,48.3,95.92,56.45,A,3,Auditory
Nisha Sharma,66.51,14.35,93.21,2,68.31,32.83,87.94,97.97,42.47,98.01,C,2,Visual
Priya Sharma,95.26,12.19,75.83,4,60.1,34.04,73.21,89.26,81.02,93.52,B,2,Visual
Meera Sharma,57.51,18.41,59.71,5,83.4,88.78,32.17,52.27,91.06,52.83,B,1,Auditory
Aarav Patel,63.19,9.45,89.19,5,94.31,67.75,39.8,51.17,97.55,47.02,C,3,Kinesthetic
Vivaan Patel,67.24,16.58,64.27,3,42.27,84.91,91.51,47.54,50.66,61.85,C,2,Auditory
Aditya Patel,62.99,17.0,67.11,3,34.62,87.07,63.32,48.3,71.88,75.54,B,2,Auditory
Arjun Patel,79.27,9.82,70.76,5,57.62,78.04,84.27,84.89,42.62,92.03,B,4,Visual
Krishna Patel,80.05,10.28,52.59,2,67.78,96.48,88.45,68.18,69.95,97.97,B,4,Auditory
Rohan Patel,52.74,7.33,80.58,5,51.13,32.4,68.04,86.98,47.53,85.07,C,1,Visual
Rahul Patel,57.23,10.42,36.87,3,74.56,47.36,30.14,84.78,90.27,75.94,D,1,Kinesthetic
Karthik Patel,59.93,5.74,90.82,4,30.3,61.83,78.74,76.28,46.83,48.54,B,1,Kinesthetic
Siddharth Patel,53.52,17.31,82.82,2,33.86,84.58,97.41,81.18,70.8,44.44,D,2,Auditory
Ananya Patel,56.24,5.75,54.75,1,85.74,55.15,67.61,41.1,71.27,75.76,B,3,Kinesthetic
Diya Patel,61.98,5.89,45.85,4,44.18,58.21,88.51,58.71,98.3,72.34,B,1,Visual
Isha Patel,67.28,18.02,57.15,4,90.13,78.15,53.28,78.27,79.3,90.77,A,3,Auditory
Kavya Patel,89.57,11.11,86.35,2,99.22,52.58,39.41,40.56,57.27,59.36,A,2,Kinesthetic
Pooja Patel,60.9,3.0,32.21,2,81.34,97.18,49.49,41.98,54.45,42.38,D,3,Visual
Sneha Patel,83.5,7.57,62.75,5,88.41,54.1,60.6,91.11,47.69,65.42,A,3,Visual
Aditi Patel,52.89,14.4,47.79,1,62.81,69.02,87.74,81.04,85.39,98.15,B,4,Visual
Nisha Patel,82.91,8.71,91.25,2,51.82,32.21,73.78,55.92,81.45,87.73,C,5,Auditory
Priya Patel,89.74,9.04,58.97,2,75.18,54.52,43.4,81.28,76.59,42.03,C,4,Kinesthetic
Meera Patel,80.24,10.48,78.85,4,41.85,33.79,47.1,87.55,42.45,92.48,A,4,Auditory
Aarav Gupta,60.07,5.23,55.05,5,43.01,91.05,85.05,58.41,85.77,68.3,C,5,Auditory
Vivaan Gupta,66.52,9.06,53.08,5,82.58,87.56,76.52,42.16,78.51,61.89,A,5,Kinesthetic
Aditya Gupta,90.26,5.09,52.81,3,42.22,48.22,43.01,95.97,97.83,60.8,C,4,Visual
Arjun Gupta,71.6,7.66,77.47,1,99.2,99.7,73.82,60.71,75.23,75.71,D,5,Visual
Krishna Gupta,62.76,11.12,97.5,3,82.83,64.87,94.51,46.39,58.24,71.84,B,2,Kinesthetic
Rohan Gupta,96.63,14.18,44.57,5,93.94,43.57,69.65,69.51,62.89,79.4,A,4,Kinesthetic
Rahul Gupta,81.87,13.04,75.07,4,63.96,49.96,36.04,86.11,50.55,74.42,B,4,Auditory
Karthik Gupta,90.29,11.93,48.58,4,65.39,51.84,81.45,53.3,83.37,48.64,A,3,Auditory
Siddharth Gupta,51.23,12.32,68.45,1,87.64,40.81,95.47,56.17,82.46,55.43,D,5,Auditory
Ananya Gupta,66.97,10.71,67.91,5,68.6,67.32,69.03,54.56,52.04,90.46,B,4,Auditory
Diya Gupta,72.94,12.68,61.5,4,32.12,44.77,69.53,99.5,49.51,79.8,B,1,Kinesthetic
Isha Gupta,79.37,8.13,64.91,2,58.8,35.96,93.58,51.84,44.62,66.9,A,1,Kinesthetic
Kavya Gupta,59.5,18.09,91.62,1,77.82,99.88,49.72,74.53,94.72,50.96,A,2,Kinesthetic
Pooja Gupta,74.9,12.22,36.2,2,50.46,81.81,54.21,95.52,53.98,40.46,C,2,Visual
Sneha Gupta,84.28,18.8,88.12,5,32.12,92.99,54.4,48.81,60.65,58.71,B,3,Auditory
Aditi Gupta,67.29,8.69,62.36,5,76.77,33.38,51.0,98.25,56.83,43.29,D,3,Visual
Nisha Gupta,84.57,8.5,53.35,2,86.2,53.43,39.56,96.85,64.82,68.94,D,4,Visual
Priya Gupta,69.48,19.34,42.4,3,54.81,48.23,73.17,93.07,82.84,89.31,C,3,Visual
Meera Gupta,73.47,14.85,87.04,1,45.2,92.04,62.48,52.87,92.24,57.12,B,2,Auditory
Aarav Singh,56.71,10.86,71.44,2,97.0,95.5,54.57,78.04,50.96,90.87,B,1,Visual
Vivaan Singh,82.56,14.65,80.99,2,71.51,60.12,85.56,85.65,81.18,82.27,C,1,Auditory
Aditya Singh,61.21,8.54,52.05,3,37.85,62.76,92.46,99.16,61.15,47.52,C,3,Auditory
Arjun Singh,91.44,15.42,57.51,4,58.61,98.94,50.51,50.83,98.83,78.67,A,2,Auditory
Krishna Singh,77.67,4.98,93.96,1,60.89,61.08,45.16,85.96,57.94,49.1,B,2,Auditory
Rohan Singh,78.01,19.07,97.28,3,58.35,62.6,54.35,60.33,40.43,79.29,C,4,Kinesthetic
Rahul Singh,95.62,9.76,81.79,2,38.68,88.0,74.82,50.54,70.94,48.56,D,1,Visual
Karthik Singh,58.37,2.77,82.46,4,95.05,87.05,38.99,65.28,49.04,63.55,A,1,Visual
Siddharth Singh,76.51,17.06,78.61,5,92.64,39.84,46.35,87.63,42.67,74.0,A,2,Auditory
Ananya Singh,69.11,17.99,71.1,4,90.12,79.69,36.6,67.89,81.9,43.02,B,5,Visual
Diya Singh,98.32,14.87,71.66,5,87.01,74.62,90.36,72.25,83.94,49.2,A,2,Visual
Isha Singh,89.64,12.96,97.47,3,69.03,83.32,85.04,99.71,67.64,59.22,A,2,Visual
Kavya Singh,87.88,18.64,82.56,5,72.17,68.23,53.75,63.95,80.61,67.74,A,2,Auditory
Pooja Singh,60.21,12.82,75.87,5,85.17,99.04,88.83,76.92,72.29,91.51,C,4,Auditory
Sneha Singh,61.87,16.04,43.23,2,44.84,75.11,32.85,61.91,77.79,51.24,A,3,Visual
Aditi Singh,51.46,9.95,98.4,5,62.49,57.19,65.27,63.57,75.8,60.85,B,3,Kinesthetic
Nisha Singh,81.93,14.82,66.42,5,56.65,82.94,63.51,81.74,79.95,68.55,D,2,Visual
Priya Singh,68.54,19.98,96.06,1,66.1,31.0,47.09,96.27,51.98,57.75,C,4,Kinesthetic
Meera Singh,65.6,8.27,79.95,2,62.06,52.84,63.37,72.54,56.12,77.54,C,1,Visual
Aarav Kumar,81.85,14.68,32.81,3,45.91,63.71,53.16,86.1,66.4,55.4,A,2,Auditory
Vivaan Kumar,91.43,3.83,67.73,3,91.72,61.51,64.28,45.35,66.77,86.34,C,4,Visual
Aditya Kumar,56.65,13.07,92.49,3,67.8,41.61,38.72,52.67,86.46,70.31,B,2,Visual
Arjun Kumar,95.93,7.13,33.62,3,85.5,46.89,61.2,70.13,62.04,45.18,B,3,Visual
Krishna Kumar,51.71,17.47,90.67,4,49.61,96.21,80.07,41.2,49.75,77.62,A,3,Visual
